Employer_No,Cash_Received_Date,Total_Amt
100692,31/10/2018,1007.52
100122,29/11/2018,500
100185,8/11/2018,917.65
100436,27/07/2017,1492.14
100200,21/06/2018,1330
100722,5/09/2018,2683.98
100240,28/05/2018,533.9
100615,11/07/2018,13316.26
100090,8/06/2018,373.63
100345,30/07/2018,2367.4
100867,28/06/2018,8284.77
100592,3/07/2018,400.42
100937,21/06/2018,1108.34
100867,22/08/2018,8222.72
100975,17/07/2017,1641.6
100023,10/08/2018,684
100122,23/11/2018,500
100185,21/08/2018,734.12
100269,30/08/2018,250
100692,7/08/2018,549.09
100887,28/08/2018,942.4
100516,1/08/2018,538.74
100135,15/08/2018,1634
100887,23/10/2018,824.6
100135,15/10/2018,2041.08
100516,31/10/2018,444.6
100185,21/08/2018,918.39
100185,21/08/2018,974.72
100185,21/08/2018,734.12
100185,21/08/2018,734.12
100185,21/08/2018,734.12
100185,21/08/2018,867.56
100104,3/12/2018,1690.67
100904,31/07/2017,142.5
100185,11/05/2018,734.12
100023,16/05/2018,801
100122,23/05/2018,500
100185,10/05/2018,974.72
100269,4/06/2018,250
100887,23/05/2018,471.2
100516,3/05/2018,556.98
100090,9/05/2018,457.38
100336,26/04/2018,244.3
100657,17/12/2018,190
100240,24/12/2018,421.5
100269,31/12/2018,240
100435,5/12/2018,507.86
100269,27/12/2017,250
100692,1/12/2017,375.87
100615,18/12/2017,13935.83
100516,16/07/2018,932.71
100867,22/08/2018,215.32
100284,10/09/2018,87.21
100023,15/03/2018,822
100722,1/05/2018,2480.86
100692,6/03/2018,422.19
100615,11/04/2018,12439.95
100937,8/05/2018,249.98
100867,26/03/2018,7952.76
100090,9/03/2018,374.83
100407,23/02/2018,500
100200,21/11/2018,874
100135,15/11/2018,760
100937,11/09/2017,554.17
100023,4/09/2017,1075
100675,15/09/2017,957.22
100887,27/07/2017,410.4
100042,1/08/2017,360.66
100345,3/08/2017,2087.85
100122,15/02/2018,500
100185,27/02/2018,4339.12
100747,19/04/2018,4277.08
100023,16/04/2018,1090
100122,6/04/2018,500
100200,30/04/2018,1330
100722,1/05/2018,2311.45
100240,4/04/2018,533.9
100939,3/07/2018,768.77
100749,26/06/2018,2557.08
100121,9/07/2018,6187.16
100752,23/07/2018,692.44
100284,11/08/2017,82.77
100104,31/08/2017,1561.32
100592,8/08/2017,428.64
100747,18/05/2018,4556.56
100065,5/07/2018,10000
100592,10/05/2018,427.12
100937,8/05/2018,1662.51
100867,21/05/2018,11804.03
100675,16/05/2018,576.86
100675,16/05/2018,874.76
100435,4/06/2018,399.64
100380,29/03/2018,350.32
100692,10/07/2018,334.31
100657,2/08/2018,190
100200,12/07/2018,1330
100752,22/10/2018,1884.96
100039,14/09/2018,548.75
100200,6/11/2018,874
100336,5/10/2018,244.3
100035,2/11/2018,1047.68
100975,3/07/2018,1498.08
100039,11/08/2017,1114.25
100122,24/08/2017,500
100185,7/09/2017,834.2
100269,18/09/2017,250
100692,8/09/2017,303.1
100722,7/09/2017,3205.07
100615,8/09/2017,12601.74
100975,7/11/2017,456
100592,5/09/2017,433.01
100975,5/10/2017,623.2
100975,5/10/2017,722
100042,1/05/2018,928
100039,15/03/2018,527.68
100104,3/05/2018,1670.16
100121,12/07/2017,6000.3
100675,22/12/2017,516.99
100722,5/09/2018,2569.61
100615,23/08/2018,11956.84
100294,20/07/2018,1719.5
100853,13/07/2018,535.47
100435,9/11/2018,463.46
100435,29/10/2018,463.47
100284,26/11/2018,49.26
100887,27/11/2018,824.6
100615,7/12/2018,9637.59
100516,20/11/2018,609.8
100937,4/08/2017,554.17
100692,9/08/2017,273.87
100692,4/05/2018,486.32
100692,6/02/2018,366.54
100065,23/08/2017,530.8
100284,23/07/2018,85.6
100104,4/07/2018,1569.74
100407,26/06/2018,10500
100052,31/07/2018,676.29
100336,12/11/2018,252.45
100065,30/11/2018,1919.18
100675,17/10/2017,253.27
100032,27/09/2017,246
100747,8/09/2017,46236.35
100747,29/11/2018,376.42
100747,29/11/2018,188.21
100747,29/11/2018,188.21
100747,29/11/2018,188.21
100675,20/02/2018,548.72
100032,9/03/2018,541
100937,21/06/2018,473.8
100042,28/08/2018,1035.92
100675,20/02/2018,199.5
100675,15/09/2017,144.4
100032,10/11/2017,363
100380,30/08/2018,5631.95
100615,26/09/2018,11103.22
100294,20/08/2018,3065.33
100675,9/08/2018,1779.82
100065,24/08/2018,1026.82
100380,29/11/2018,8374.55
100867,20/12/2018,224.89
100675,14/06/2018,1408.75
100413,16/02/2018,1805.65
100692,6/11/2017,370
100937,3/11/2017,1108.34
100867,21/11/2017,14100.31
100380,3/07/2018,6182.8
100752,21/07/2017,557.63
100240,3/07/2018,800.85
100269,1/11/2018,200
100722,10/12/2018,2461.61
100692,4/10/2018,847.59
100336,9/03/2018,228
100269,26/03/2018,250
100104,3/10/2017,1773.95
100090,11/09/2017,406.51
100294,21/09/2017,4183.96
100380,4/10/2017,6629.24
100537,1/09/2017,559.55
100336,5/09/2017,252.5
100692,7/07/2017,396.6
100722,7/09/2017,2785.82
100615,19/07/2017,11643.87
100516,4/07/2017,562.78
100537,3/07/2017,559.55
100975,4/09/2017,923.4
100592,17/07/2017,416.44
100937,10/07/2017,3325.02
100615,22/11/2017,10406.32
100090,9/11/2017,486.42
100294,20/11/2017,4238.58
100380,6/09/2018,2012.42
100692,5/09/2018,343.55
100200,24/09/2018,1330
100516,20/09/2018,803.98
100336,6/09/2018,252.45
100867,21/12/2018,9257.29
100023,11/10/2017,915
100122,3/10/2017,500
100185,2/10/2017,700.74
100380,2/11/2017,1173.11
100537,11/10/2017,447.64
100867,21/12/2018,413.71
100749,23/04/2018,93.43
100121,24/04/2018,3864.99
100692,4/04/2018,483.18
100657,1/05/2018,190
100615,24/04/2018,12888.92
100336,11/04/2018,252.5
100975,26/06/2018,2247.12
100592,20/04/2018,532
100407,14/05/2018,500
100122,24/08/2017,500
100185,2/08/2017,303.65
100269,25/08/2017,250
100749,24/10/2017,2836.99
100090,9/08/2017,441.22
100294,22/08/2017,4183.96
100380,31/08/2017,6248.35
100537,1/08/2017,435.86
100377,2/05/2018,48.42
100039,11/10/2017,523.45
100380,29/01/2018,2608.56
100380,29/01/2018,190.99
100269,11/04/2018,250
100284,1/05/2018,682.73
100867,26/04/2018,8432.44
100345,2/11/2017,1761.36
100435,12/09/2017,94.36
100269,13/11/2017,250
100284,17/11/2017,338.13
100749,23/01/2018,218.23
100887,20/11/2017,440.8
100345,23/01/2018,2248.13
100042,27/02/2018,880.25
100675,13/12/2018,384.48
100904,29/10/2018,488.49
100185,5/10/2018,433.8
100185,5/10/2018,1359.26
100185,5/10/2018,1225.8
100206,22/10/2018,346.56
100722,5/09/2018,2536.25
100240,29/08/2018,533.9
100615,6/11/2018,11737.58
100887,20/09/2018,824.6
100294,21/09/2018,3065.33
100853,21/09/2018,775.84
100380,6/09/2018,5522.44
100318,5/09/2018,1246.78
100327,3/07/2018,606.35
100576,12/11/2018,683.59
100384,29/11/2018,4978.37
100318,6/11/2018,1558.4
100208,30/10/2018,1667.61
100091,5/11/2018,239.4
100384,11/06/2018,4062.81
100208,22/06/2018,2047.08
100192,28/07/2017,338.92
100304,16/07/2018,515.84
100037,6/08/2018,633.33
100318,14/08/2018,1398.12
100304,13/08/2018,779.78
100956,31/07/2018,653.4
100576,6/09/2018,371.54
100956,25/09/2018,653.4
100260,28/07/2017,657.68
100276,11/04/2018,918.57
100276,11/04/2018,2872.77
100276,11/04/2018,76
100318,27/04/2018,1223.22
100956,30/04/2018,631.76
100036,17/05/2018,532
100372,25/05/2018,437
100551,17/05/2018,8383.1
100520,19/11/2018,284.16
100840,28/11/2017,475
100809,19/12/2017,2749.16
100778,19/02/2018,2272.02
100304,11/12/2017,307.3
100551,13/09/2018,26.84
100433,8/08/2018,1067.8
100433,8/08/2018,418.76
100596,19/07/2018,328.86
100596,19/07/2018,562.5
100571,29/03/2018,4530.7
100208,19/03/2018,1566.45
100671,16/04/2018,540.77
100037,23/04/2018,633.33
100007,17/04/2018,279.3
100037,25/10/2018,633.33
100520,7/08/2017,830.67
100069,13/12/2017,1158.05
100057,4/07/2017,919.13
100318,7/03/2018,1223.22
100384,30/04/2018,2035.49
100809,17/04/2018,4585.2
100118,18/07/2018,1557.59
100571,18/09/2017,1662.28
100276,2/05/2018,3045.25
100192,24/01/2018,789.54
100384,5/07/2018,3023.02
100001,11/09/2018,311.13
100528,23/11/2018,2319.9
100192,26/10/2018,190.52
100778,25/10/2018,2042.25
100571,25/10/2018,3611.06
100327,2/07/2018,778.85
100318,13/09/2017,1619.74
100778,12/10/2017,2797.6
100304,18/09/2017,340.81
100037,20/09/2017,633.33
100571,26/04/2018,4677.71
100809,1/08/2017,2337.65
100001,9/07/2018,275.72
100069,15/05/2018,959.08
100036,25/07/2018,532
100372,5/07/2018,437
100208,4/07/2018,1664.41
100809,18/07/2018,1869.84
100069,20/09/2018,346.56
100809,14/08/2018,2064.78
100384,3/10/2018,95
100671,3/10/2018,584.61
100809,14/08/2018,683.05
100809,14/08/2018,263.7
100809,18/07/2018,546.44
100417,24/10/2018,1632.1
100840,2/11/2018,936.98
100384,1/11/2018,275.5
100956,23/10/2018,653.4
100283,21/08/2017,371.45
100149,25/07/2017,164.67
100093,29/06/2018,1688.16
100304,11/08/2017,259.58
100840,29/05/2018,475
100304,11/06/2018,620.25
100809,18/05/2018,1229.49
100037,30/11/2018,633.33
100433,22/05/2018,1661.44
100304,12/02/2018,826.77
100118,15/02/2018,533.27
100037,20/09/2017,633.33
100571,25/07/2018,3566.31
100956,2/07/2018,947.64
100869,4/07/2018,46.84
100576,16/07/2018,509.01
100314,16/07/2018,9.2
100091,24/08/2018,299.25
100283,13/09/2018,1859.1
100384,24/08/2018,3478.78
100936,26/07/2018,1802.28
100704,9/08/2018,307.8
100726,4/10/2018,43303.58
100840,30/08/2018,884.93
100994,5/12/2018,2143.32
100007,17/04/2018,266
100936,1/11/2018,1802.28
100036,13/11/2018,1258.56
100372,11/12/2018,456
100809,23/10/2017,2039.22
100840,10/10/2017,190
100576,7/09/2017,371.54
100283,27/12/2018,1919.75
100840,27/12/2018,299.62
100936,10/08/2017,950
100276,10/07/2017,2256.43
100276,10/07/2017,76
100007,17/04/2018,123.03
100576,12/02/2018,185.77
100276,31/01/2018,2241.6
100276,31/01/2018,76
100337,3/08/2018,585.21
100057,4/07/2018,4930.58
100869,17/05/2018,173.61
100840,24/04/2018,475
100840,25/10/2017,548.08
100840,26/11/2018,475
100276,29/06/2018,3043.96
100433,22/10/2018,4742.72
100036,9/08/2018,532
100372,27/08/2018,893
100208,3/10/2018,1691
100037,6/08/2018,633.33
100327,6/09/2018,1504.66
100384,1/11/2018,4219.81
100840,6/09/2018,989.04
100596,19/10/2018,3300.03
100994,5/12/2018,2386.48
100327,3/07/2018,1152.29
100118,4/01/2019,1036.99
100007,31/07/2017,576.75
100007,31/07/2017,805.27
100007,31/07/2017,501.41
100809,26/09/2017,683.05
100314,31/10/2017,202.13
100551,24/01/2018,418.86
100936,5/10/2017,950
100936,29/11/2018,1802.28
100192,26/07/2018,788.67
100571,26/02/2018,1224.32
100304,7/11/2017,228.22
100118,8/11/2017,974.85
100036,26/10/2017,501.29
100069,16/07/2018,474.24
100551,13/07/2018,5548.2
100704,12/07/2018,1206.71
100782,24/07/2018,238.35
100372,22/10/2018,456
100304,8/10/2018,479.28
100576,9/03/2018,371.54
100372,22/03/2018,437
100384,9/03/2018,2706.71
100571,29/09/2017,2275.51
100069,14/09/2017,575
100036,14/09/2017,665
100372,19/09/2017,437
100208,11/09/2017,2739.77
100551,7/09/2017,6250
100304,7/07/2017,270.75
100118,12/07/2017,454.85
100036,5/07/2017,532
100372,15/09/2017,437
100551,5/07/2017,4906
100971,30/07/2018,859.45
100726,9/05/2018,25000
100208,9/11/2017,1898.32
100037,24/10/2017,633.33
100433,20/11/2018,231.04
100551,13/09/2018,7275.23
100809,18/09/2018,3511.3
100869,17/04/2018,102.23
100318,5/10/2017,1700.5
100551,19/10/2017,6660
100936,7/03/2018,466.83
100726,3/05/2018,44919.9
100304,3/04/2018,625.89
100118,17/05/2018,915.73
100069,11/04/2018,1610.56
100671,27/04/2018,675.96
100520,10/05/2018,830.67
100318,15/08/2017,1295.8
100208,13/09/2017,2154.79
100001,28/06/2018,547.2
100093,27/04/2018,1688.16
100671,27/07/2018,540.77
100840,25/09/2018,475
100118,4/09/2018,1090.68
100417,25/07/2018,1542.8
100840,26/06/2018,908.79
100276,6/10/2017,1915.76
100276,6/10/2017,76
100276,30/01/2018,76
100551,17/11/2017,426.31
100778,28/05/2018,1849.14
